rank,champion,tier,role,win_rate,pick_rate,ban_rate,counter1,counter2,counter3
1,Irelia,1,top,0.5186,0.0576,0.0956,Warwick,Volibear,Zac
2,Maokai,1,top,0.5162,0.0622,0.032799999999999996,Heimerdinger,Olaf,Mordekaiser
3,Warwick,1,top,0.5251,0.0305,0.08380000000000001,Cassiopeia,Teemo,Heimerdinger
4,Aatrox,1,top,0.5024000000000001,0.0855,0.1023,Cassiopeia,Warwick,Irelia
5,Riven,1,top,0.5138,0.052000000000000005,0.027000000000000003,Quinn,Maokai,Kennen
6,Gragas,1,top,0.5123,0.0492,0.0229,Cho'Gath,Vayne,Maokai
7,Darius,1,top,0.5056,0.0623,0.1333,Cassiopeia,Teemo,Wukong
8,Malphite,1,top,0.5131,0.044199999999999996,0.0617,Maokai,Dr. Mundo,Tahm Kench
9,Volibear,1,top,0.509,0.0489,0.0338,Quinn,Teemo,Kennen
10,Mordekaiser,2,top,0.5064,0.048,0.0575,Cassiopeia,Heimerdinger,Vayne
11,Cho'Gath,2,top,0.5186999999999999,0.028399999999999998,0.0044,Olaf,Ornn,Dr. Mundo
12,Ornn,2,top,0.5117,0.0388,0.005600000000000001,Warwick,Tryndamere,Dr. Mundo
13,Camille,2,top,0.5105,0.04019999999999999,0.0189,Zac,Ryze,Teemo
14,Renekton,2,top,0.4997,0.0588,0.048499999999999995,Cassiopeia,Teemo,Warwick
15,Tahm Kench,2,top,0.5106,0.0329,0.040999999999999995,Wukong,Heimerdinger,Singed
16,Dr. Mundo,2,top,0.5082,0.037000000000000005,0.0195,Riven,Udyr,Warwick
17,Teemo,2,top,0.515,0.0255,0.033,Ryze,Olaf,Cassiopeia
18,Sett,2,top,0.5025999999999999,0.0444,0.0088,Zac,Warwick,Volibear
19,Shen,2,top,0.5103,0.0313,0.0038,Cassiopeia,Teemo,Tryndamere
20,K'Sante,2,top,0.48979999999999996,0.0704,0.07730000000000001,Singed,Kayle,Kennen
21,Fiora,2,top,0.5038,0.0366,0.0584,Quinn,Ryze,Warwick
22,Kayle,2,top,0.5155,0.0217,0.006500000000000001,Ryze,Malphite,Cassiopeia
23,Gnar,2,top,0.4986,0.0455,0.0195,Quinn,Vladimir,Malphite
24,Ambessa,3,top,0.4866,0.054299999999999994,0.2948,Warwick,Camille,Irelia
25,Poppy,3,top,0.5157,0.0181,0.0285,Warwick,Cassiopeia,Darius
26,Gwen,3,top,0.5065999999999999,0.0288,0.0245,Warwick,Singed,Viktor
27,Viktor,3,top,0.4988,0.0178,0.0348,Tryndamere,Kled,Irelia
28,Vladimir,3,top,0.5093,0.022400000000000003,0.0182,Cassiopeia,Nasus,Akali
29,Urgot,3,top,0.511,0.0217,0.0036,Cassiopeia,Aurora,Olaf
30,Sion,3,top,0.4982,0.0377,0.004699999999999999,Riven,Dr. Mundo,Gwen
31,Trundle,3,top,0.5136999999999999,0.018600000000000002,0.0042,Heimerdinger,Zac,Quinn
32,Garen,3,top,0.494,0.043899999999999995,0.0212,Camille,Maokai,Kayle
33,Singed,3,top,0.5135000000000001,0.0177,0.0025,Vayne,Trundle,Ryze
34,Jax,3,top,0.4892,0.05,0.0716,Cassiopeia,Heimerdinger,Vladimir
35,Olaf,3,top,0.5164,0.015300000000000001,0.0095,Vayne,Heimerdinger,Kayle
36,Tryndamere,3,top,0.5062,0.0231,0.0134,Warwick,Volibear,Cho'Gath
37,Cassiopeia,3,top,0.5281,0.0075,0.0045000000000000005,Kled,Garen,Udyr
38,Yorick,3,top,0.5009,0.0258,0.0262,Warwick,Kayle,Tryndamere
39,Kennen,3,top,0.5122,0.015300000000000001,0.0087,Udyr,Galio,Dr. Mundo
40,Zac,3,top,0.517,0.011699999999999999,0.0069,Galio,Volibear,Riven
41,Nasus,3,top,0.4988,0.027000000000000003,0.0321,Ryze,Zac,Heimerdinger
42,Jayce,3,top,0.4826,0.054900000000000004,0.0172,Quinn,Tahm Kench,Irelia
43,Gangplank,3,top,0.49420000000000003,0.0322,0.011899999999999999,Quinn,Cho'Gath,Tahm Kench
44,Pantheon,3,top,0.5027,0.0206,0.0048,Heimerdinger,Maokai,Malphite
45,Ryze,3,top,0.5169,0.0108,0.0013,Zac,Irelia,Pantheon
46,Kled,3,top,0.5111,0.014199999999999999,0.005,Camille,Akali,Riven
47,Wukong,3,top,0.513,0.0118,0.005,Cassiopeia,Singed,Ryze
48,Yone,3,top,0.4765,0.055099999999999996,0.0432,Irelia,Riven,Wukong
49,Illaoi,4,top,0.494,0.0235,0.0508,Heimerdinger,Kayle,Teemo
50,Aurora,4,top,0.4936,0.0191,0.0414,Irelia,Akali,Wukong
51,Yasuo,4,top,0.485,0.023799999999999998,0.0385,Singed,Cassiopeia,Riven
52,Heimerdinger,4,top,0.5097999999999999,0.009300000000000001,0.0044,Galio,Ryze,Cassiopeia
53,Quinn,4,top,0.512,0.0076,0.0024,Olaf,Malphite,Maokai
54,Akali,4,top,0.4924,0.015600000000000001,0.019299999999999998,Galio,Poppy,Maokai
55,Sylas,4,top,0.4874,0.0159,0.0152,Urgot,Poppy,Kled
1,Warwick,1,jungle,0.5162,0.0556,0.1527,Rek'Sai,Ivern,Nunu & Willump
2,Wukong,1,jungle,0.5143,0.066,0.0281,Zyra,Karthus,Ivern
3,Viego,1,jungle,0.5003,0.16820000000000002,0.1338,Rammus,Qiyana,Bel'Veth
4,Nocturne,1,jungle,0.5117,0.0575,0.0784,Udyr,Gwen,Wukong
5,Graves,1,jungle,0.5017,0.1361,0.19190000000000002,Gwen,Rammus,Qiyana
6,Kayn,1,jungle,0.509,0.0733,0.0512,Kindred,Fiddlesticks,Wukong
7,Kha'Zix,1,jungle,0.5083,0.0729,0.0632,Fiddlesticks,Zyra,Shaco
8,Shaco,1,jungle,0.5115,0.0466,0.12990000000000002,Briar,Karthus,Graves
9,Nunu & Willump,1,jungle,0.5162,0.0333,0.0069,Qiyana,Pantheon,Bel'Veth
10,Lee Sin,1,jungle,0.4966,0.1702,0.1137,Shaco,Rek'Sai,Warwick
11,Ekko,1,jungle,0.509,0.055,0.0103,Pantheon,Ivern,Rengar
12,Elise,2,jungle,0.5056,0.0487,0.055099999999999996,Nocturne,Qiyana,Shaco
13,Bel'Veth,2,jungle,0.5117,0.026099999999999998,0.0444,Sejuani,Ivern,Rek'Sai
14,Jarvan IV,2,jungle,0.5036999999999999,0.0558,0.014199999999999999,Gwen,Jax,Bel'Veth
15,Xin Zhao,2,jungle,0.5078,0.0359,0.0053,Pantheon,Jax,Udyr
16,Fiddlesticks,2,jungle,0.5114,0.0246,0.0137,Nunu & Willump,Rammus,Shaco
17,Skarner,2,jungle,0.5056,0.0393,0.0883,Lillia,Gwen,Udyr
18,Hecarim,2,jungle,0.5039,0.0466,0.0327,Ivern,Volibear,Udyr
19,Briar,2,jungle,0.5093,0.0258,0.0252,Pantheon,Jax,Teemo
20,Diana,2,jungle,0.5025999999999999,0.0464,0.0139,Warwick,Qiyana,Dr. Mundo
21,Rek'Sai,2,jungle,0.5138,0.0158,0.006500000000000001,Dr. Mundo,Karthus,Volibear
22,Udyr,2,jungle,0.5093,0.0233,0.0242,Qiyana,Briar,Poppy
23,Master Yi,2,jungle,0.5017,0.0454,0.0704,Shaco,Elise,Warwick
24,Karthus,2,jungle,0.5064,0.028300000000000002,0.059500000000000004,Shyvana,Ivern,Volibear
25,Kindred,3,jungle,0.5008,0.0392,0.029300000000000003,Ivern,Qiyana,Elise
26,Vi,3,jungle,0.4951,0.0647,0.0171,Dr. Mundo,Rek'Sai,Wukong
27,Ivern,3,jungle,0.5114,0.0131,0.0051,Amumu,Briar,Nunu & Willump
28,Gwen,3,jungle,0.5114,0.0115,0.0098,Bel'Veth,Master Yi,Qiyana
